CASEID_NEW,SUBSETNUMBER
22526,1
22526,2
22526,3
22526,4
22526,5
22526,6
22526,7
22526,8
22526,9
22526,11
22526,12
22526,13
22526,14
22526,15
22526,16
22526,17
22526,18
22526,19
22526,20
22526,21
22526,22
22526,23
22526,24
22526,25
22526,26
22526,27
22526,28
22526,29
22526,30
22526,31
22526,32
22526,33
22526,34
22526,35
22526,36
22526,37
22526,38
22526,39
22526,40
22526,41
22526,43
22526,44
22526,45
22526,46
22526,47
22526,48
22526,52
22526,53
22526,54
22526,55
22526,56
22526,57
22526,58
22526,59
22526,60
22526,61
22526,62
22526,63
22526,65
22526,66
22526,67
22526,68
22526,69
22526,70
22526,71
22526,72
22526,73
23286,1
23286,2
23286,3
23286,4
23286,5
23286,6
23286,7
23286,8
23286,10
23286,11
23286,12
23286,13
23286,14
23286,15
23286,16
23286,17
23286,18
23286,19
23286,20
23286,21
23286,22
23286,23
23286,24
23286,25
23286,26
23286,28
23286,29
23286,30
23286,31
23286,32
23286,33
23286,34
23286,35
23286,36
23286,37
23286,38
23286,39
23286,40
23286,43
23286,44
23286,45
23286,46
23286,48
23286,49
23286,50
23286,51
23286,52
23286,53
23286,55
23286,56
23286,57
23286,58
23286,59
23286,60
23286,61
23286,62
23286,63
23286,64
23286,65
23286,66
23286,67
23286,68
23286,69
23286,70
23286,71
23286,72
23286,73
26315,1
26315,2
26315,3
26315,4
26315,5
26315,6
26315,7
26315,8
26315,9
26315,10
26315,11
26315,12
26315,13
26315,14
26315,15
26315,16
26315,17
26315,18
26315,19
26315,21
26315,22
26315,23
26315,24
26315,25
26315,26
26315,28
26315,29
26315,30
26315,31
26315,32
26315,33
26315,34
26315,36
26315,37
26315,38
26315,39
26315,40
26315,42
26315,43
26315,44
26315,45
26315,46
26315,47
26315,49
26315,50
26315,51
26315,52
26315,53
26315,54
26315,55
26315,56
26315,57
26315,58
26315,59
26315,60
26315,61
26315,62
26315,63
26315,65
26315,66
26315,67
26315,68
26315,69
26315,70
26315,71
26315,72
26315,73
28536,1
28536,2
28536,3
28536,5
28536,7
28536,8
28536,9
28536,10
28536,11
28536,12
28536,13
28536,14
28536,16
28536,18
28536,20
28536,21
28536,22
28536,23
28536,24
28536,25
28536,26
28536,27
28536,28
28536,29
28536,30
28536,31
28536,32
28536,33
28536,34
28536,35
28536,36
28536,37
28536,38
28536,39
28536,40
28536,41
28536,42
28536,43
28536,44
28536,46
28536,47
28536,48
28536,49
28536,50
28536,51
28536,52
28536,53
28536,54
28536,55
28536,56
28536,57
28536,58
28536,59
28536,60
28536,61
28536,62
28536,64
28536,66
28536,67
28536,68
28536,69
28536,70
28536,71
28536,72
28536,73
29584,1
29584,2
29584,3
29584,4
29584,5
29584,6
29584,7
29584,8
29584,9
29584,10
29584,11
29584,12
29584,13
29584,15
29584,16
29584,17
29584,18
29584,19
29584,20
29584,21
29584,22
29584,23
29584,24
29584,25
29584,26
29584,28
29584,29
29584,30
29584,31
29584,32
29584,33
29584,35
29584,36
29584,37
29584,38
29584,39
29584,41
29584,42
29584,43
29584,44
29584,45
29584,46
29584,47
29584,48
29584,49
29584,50
29584,51
29584,52
29584,53
29584,54
29584,56
29584,57
29584,58
29584,59
29584,60
29584,61
29584,62
29584,63
29584,64
29584,65
29584,66
29584,67
29584,68
29584,69
29584,70
29584,71
29584,72
29584,73
31456,1
31456,2
31456,4
31456,5
31456,6
31456,8
